word	k	p	sqrt_kp	sum	DF	DFtoWF	cluster	pq
sure	3.12771826094241	0.7476716959053	3.2158411783996	19	11	0.578947368421053	9	2.96309087713242
person	0.2413346432408	0.186088591107744	0.304748049655169	19	6	0.315789473684211	4	0.228634946106743
but	1.34009034580815	0.0441761612040657	1.3408182830447	522	18	0.0344827586206897	2	0.0462178901707611
yet	0.544898524205562	0.163995256900837	0.569042042354844	50	12	0.24	3	0.196165462283011
somebody	1.33574707310293	0.774508645421316	1.54404788952137	7	5	0.714285714285714	9	3.43475982424441
else.	41.5282888863537	0.973929232012253	41.5397077021181	20	13	0.65	12	37.3571362558239
bring	0.754350668158687	0.601387110596978	0.964733842748164	9	6	0.666666666666667	10	1.50869960953254
before	1.29754947145783	0.217557228566149	1.31566172650187	84	15	0.178571428571429	3	0.278048742360375
affair	0.26459137312342	0.487843091734986	0.554977005726261	5	3	0.6	10	0.952526625849109
people	0.798204819763538	0.176578791243378	0.817502907524318	67	13	0.194029850746269	3	0.214445279482191
city	0.227503016186088	0.312718208781434	0.386717339250823	9	4	0.444444444444444	6	0.455007265981801
heard	1.30934958125685	0.389119542129241	1.36594668417342	37	13	0.351351351351351	1	0.636981486501514
possess	0.248102244344051	0.358246661039315	0.435769886286757	8	4	0.5	8	0.558231082396069
were	1.03718050431944	0.0480403554939723	1.03829248013087	370	18	0.0486486486486487	2	0.0504646975018573
learn	0.452735288212549	0.57594866322379	0.732588632086365	6	4	0.666666666666667	10	1.35820504093292
will	0.809810777438371	0.0839780315110622	0.814153428434599	159	16	0.10062893081761	2	0.0916768750094407
old	0.871765832739651	0.0569236430600322	0.873622325877426	260	17	0.0653846153846154	2	0.0603595272441505
minister	0.0178829195980549	0.0386840395379119	0.0426175284163832	8	1	0.125	7	0.040240712865432
last	0.892302977239864	0.271945510833165	0.932823115093873	43	13	0.302325581395349	4	0.37352356846858
best	1.61833408654738	0.691431320117864	1.75985297287048	13	8	0.615384615384615	10	2.24076960883383
looks	0.26459137312342	0.487843091734986	0.554977005726261	5	3	0.6	10	0.952526625849109
man	0.305330185347405	0.0372702528924982	0.307596478905321	142	12	0.0845070422535211	7	0.0387130999166441
no	0.910342437429334	0.0903419221242541	0.914814197680537	165	16	0.096969696969697	2	0.0993141536600462
can	1.03217960299655	0.177658483663474	1.04735727889757	86	16	0.186046511627907	3	0.21603978412148
more	0.888585574393515	0.144103973918116	0.900194578032575	95	15	0.157894736842105	3	0.168366214501304
than	0.815298004520129	0.156663843535724	0.830213464143945	79	14	0.177215189873418	3	0.185766781531748
went	1.74788373129397	0.228878306302245	1.7628053826835	106	18	0.169811320754717	3	0.2968121739705
hall	0.289894158420348	0.42708066663664	0.51617489177704	7	4	0.571428571428571	10	0.745446421103362
where	1.17054405526228	0.128421909762293	1.17756765080264	143	18	0.125874125874126	2	0.14734412349359
meaning	0.839464079922976	0.683406065314859	1.08247115046548	7	5	0.714285714285714	10	2.15862020854733
eyes	0.614283451196442	0.169961336872289	0.637362545530585	54	12	0.222222222222222	3	0.204763156732783
wide	0.758141066062606	0.553689799560023	0.938802572529157	11	7	0.636363636363636	10	1.24059409579748
cannot	0.723510822073302	0.26565424292231	0.770739960323721	36	12	0.333333333333333	4	0.361756353001172
discover	0.839464079922976	0.683406065314859	1.08247115046548	7	5	0.714285714285714	10	2.15862020854733
bit	0.233450826364361	0.456644535850779	0.512858187467624	5	3	0.6	10	0.840415834532531
thoughts	0.234115361128786	0.231364461761163	0.329149687046022	14	5	0.357142857142857	4	0.301006719376109
aloud	0.334737463226586	0.462586439213901	0.570995081442884	7	4	0.571428571428571	10	0.860764359085496
impostors	0.0224046056488293	0.0746052115891351	0.0778967518612886	5	1	0.2	5	0.0806198743751853
good	0.81050227490656	0.149496502669188	0.824174218196024	83	15	0.180722891566265	3	0.175774118670131
come	1.07907868663076	0.179145786091768	1.09384826398144	89	15	0.168539325842697	3	0.218243121685181
nearer	0.248102244344051	0.358246661039315	0.435769886286757	8	4	0.5	8	0.558231082396069
whether	0.883528109993612	0.569946305131385	1.0514089175396	12	7	0.583333333333333	10	1.32529103210126
pleased	0.396486319113149	0.337646590980006	0.5207750201808	14	6	0.428571428571429	6	0.509768027735498
same	1.78621512563689	0.433595124222316	1.83808846544539	42	14	0.333333333333333	1	0.765521524910925
poor	0.662679930302296	0.180929368828835	0.686935314662346	54	12	0.222222222222222	3	0.220895930025143
looked	0.665718775340356	0.110973289618488	0.674904851700899	96	14	0.145833333333333	3	0.124825596714485
could	1.1208430704463	0.106089050623814	1.12585259924634	170	17	0.1	2	0.118679663447291
anything	1.54718355663976	0.635113654165361	1.67246713320284	16	9	0.5625	10	1.74057939250263
reason	31.4359949556921	0.99122093223154	31.4516183652096	5	5	1	12	112.907310704752
again	0.870931988124137	0.169157069990019	0.887207214953457	77	15	0.194805194805195	3	0.203596930153798
possible	0.245975455652577	0.2869909182212	0.377978454313126	11	5	0.454545454545455	6	0.402506679866153
am	1.00994706148334	0.176190831328433	1.02520060283002	85	16	0.188235294117647	3	0.21387335566142
never	1.15795011290557	0.237277458261763	1.18201059901221	67	15	0.223880597014925	3	0.31109275690346
myself	0.428785063433715	0.259712021462649	0.501305261009767	22	8	0.363636363636364	6	0.350825663785306
now	1.59666457995995	0.117914842880535	1.6010127079665	215	18	0.0837209302325581	2	0.133677391495395
if.	0.995385039297008	0.106703770586381	1.00108794374603	150	17	0.113333333333333	2	0.119449480556325
well	1.11548588054234	0.182404894996264	1.13030097558479	90	15	0.166666666666667	3	0.223099299249633
still	1.44402189388671	0.236312003885586	1.46323019146154	84	17	0.202380952380952	3	0.309435273420459
you	0.553795428008454	0.0261027412231744	0.55441025349684	372	15	0.0403225806451613	7	0.0268023561909994
do	0.793440794707983	0.105574393685185	0.800433786961064	121	16	0.132231404958678	3	0.118035969609781
oh	0.620591110186465	0.122526994384903	0.632571095131185	80	14	0.175	3	0.139636198037811
excellent	1.67358473733949	0.857650117183976	1.88054502646477	5	4	0.8	9	6.02494431479385
replied	0.163012092565516	0.328427591193852	0.366657367279023	6	3	0.5	8	0.489042710640385
looking	0.242483449806415	0.165553790669503	0.293609061568375	22	6	0.272727272727273	4	0.198399595825754
through	0.574968321608091	0.13920190867193	0.591579024501996	64	13	0.203125	3	0.161712613067212
spectacles	0.157077339660563	0.204480302020974	0.257847793377079	11	4	0.363636363636364	6	0.257039897994286
yes	1.4076112517749	0.229634071919136	1.42621921285245	85	17	0.2	3	0.298084408394334
tell	0.516635625735059	0.15169924717698	0.538446869591344	52	11	0.211538461538462	5	0.178827198575679
without	0.82956332567252	0.325091892719853	0.890988243476325	31	12	0.387096774193548	6	0.481683193923927
think	0.980026939375395	0.31144729217362	1.02832495725028	39	13	0.333333333333333	1	0.452321643112545
them	1.0064341334603	0.0947920629595356	1.01088832231563	173	16	0.092485549132948	2	0.104718550380207
we	0.373662924583566	0.0468035808708026	0.376582735120283	137	12	0.0875912408759124	7	0.0491017170559248
shall	0.787237668010829	0.166377569233011	0.80462702010249	71	13	0.183098591549296	3	0.199583844067071
much	0.966840068082721	0.175073258768822	0.982563159896674	82	16	0.195121951219512	3	0.212228856234592
obliged	2.34076872367085	0.700667150486177	2.44338549424483	18	11	0.611111111111111	9	2.34076263806061
listened	0.839464079922976	0.683406065314859	1.08247115046548	7	5	0.714285714285714	10	2.15862020854733
words	0.334737463226586	0.462586439213901	0.570995081442884	7	4	0.571428571428571	10	0.860764359085496
necessary	1.67358473733949	0.857650117183976	1.88054502646477	5	4	0.8	9	6.02494431479385
sent	1.67358473733949	0.857650117183976	1.88054502646477	5	4	0.8	9	6.02494431479385
another	1.18581932431736	0.400128707107011	1.25150727212255	32	11	0.34375	1	0.667024263117039
officer	0.0783946326547813	0.220092213582539	0.233637113722841	5	2	0.4	6	0.282202867333254
soon	0.794418478293984	0.290054866778031	0.845714221469966	35	11	0.314285714285714	4	0.408559553696304
ready	0.178553686469762	0.348815328086229	0.391859097201846	6	3	0.5	8	0.535662682386385
just	0.797396764154094	0.144467779739957	0.810378022201005	85	15	0.176470588235294	3	0.168863049595076
gentleman	0.214661841893814	0.204829837946724	0.296706873662418	15	5	0.333333333333333	4	0.257592459729394
sides	28.7975307981009	0.982914526958797	28.8143002870949	9	7	0.777777777777778	12	57.5292545069366
does	0.610433106568724	0.407139708595069	0.733751538267567	16	8	0.5	8	0.686738030017578
lord	0.181020700073782	0.24576068305987	0.305232382281527	10	4	0.4	6	0.325839130286785
second	0.163012092565516	0.328427591193852	0.366657367279023	6	3	0.5	8	0.489042710640385
talking	0.754805730447093	0.629402697183845	0.982791659477261	8	5	0.625	10	1.69834667549126
certainly	1.61095801872405	0.453101651018911	1.67346551928845	35	14	0.4	1	0.828493360535959
stupid	0.187302115377622	0.272518861610351	0.330679017112264	9	4	0.444444444444444	6	0.374606085614258
praised	0.178553686469762	0.348815328086229	0.391859097201846	6	3	0.5	8	0.535662682386385
your	0.47858329138859	0.127408420229131	0.495252331990086	59	10	0.169491525423729	5	0.146011516937382
majesty	0.0178829195980549	0.0386840395379119	0.0426175284163832	8	1	0.125	7	0.040240712865432
returned	2.06092561761412	0.78766956052705	2.20631768744191	10	7	0.7	9	3.70964032515646
magnificent	0.948228397134891	0.486713221262151	1.06584560461841	18	8	0.444444444444444	8	0.948228634407766
whole	1.40592764323119	0.231521139563762	1.42486300256077	84	18	0.214285714285714	3	0.301271969189023
wished	34.4444048167889	0.982550740167056	34.4584159406644	11	8	0.727272727272727	12	56.3090211031201
while.	0.173785704927421	0.0693210722979632	0.187101262159452	42	7	0.166666666666667	5	0.0744844115780355
by	0.894886498793593	0.107310451116437	0.901297608252607	134	16	0.119402985074627	2	0.12021026934912
number	1.33574707310293	0.774508645421316	1.54404788952137	7	5	0.714285714285714	9	3.43475982424441
among	0.331246925981848	0.221138244412453	0.398279611723027	21	7	0.333333333333333	4	0.283924897873094
whom	0.491451864401541	0.387205167296655	0.625661870825594	14	7	0.5	8	0.631867546252797
already	0.445496165985346	0.400566609222354	0.59909969314926	12	6	0.5	8	0.668242068902266
ever	1.61703323642724	0.659914357319324	1.746506068328	15	9	0.6	10	1.94043580351597
although	3.21114575783169	0.828080237106146	3.3161987209946	12	8	0.666666666666667	9	4.81666693326825
pass	36.8726763711969	0.988120356124702	36.8859139050832	8	7	0.875	12	83.1776075526439
single	1.50442486728497	0.711131307632271	1.66403182601781	11	7	0.636363636363636	10	2.46178047819388
crown	37.9895585727088	0.991264226683647	38.0024889358101	6	6	1	12	113.471834809185
only	1.16852230102798	0.179722868404661	1.18226252474961	96	17	0.177083333333333	3	0.219100181490032
look	0.74857159661094	0.212280651683346	0.778089011830753	50	13	0.26	3	0.269487669862353
glorious	1.60136300787704	0.782753747173583	1.7824328631708	8	6	0.75	9	3.60307133950437
pointed	1.33574707310293	0.774508645421316	1.54404788952137	7	5	0.714285714285714	9	3.43475982424441
imagined	0.248102244344051	0.358246661039315	0.435769886286757	8	4	0.5	8	0.558231082396069
piece	0.569297035425792	0.390415064888592	0.690306480801506	16	7	0.4375	6	0.640460487786234
thing	1.62851637461607	0.455789242141651	1.69109710414415	35	14	0.4	1	0.837523396147725
happen	0.685412794622971	0.552320706941108	0.88025499847987	10	6	0.6	10	1.23374191191025
charming	67.952528937475	0.988654522584816	67.9597206201099	14	11	0.785714285714286	12	87.1408479701048
has	0.641115681768181	0.134910560854172	0.655156604819846	74	13	0.175675675675676	3	0.155949841426085
account	0.639948377939293	0.535295957722678	0.834311505842615	10	6	0.6	10	1.15190725499054
something	1.22049472349639	0.31853387812529	1.26137670883685	47	13	0.276595744680851	1	0.467424377970551
others	0.528255757166841	0.218547008863289	0.57167905337086	34	10	0.294117647058824	4	0.279667505713156
exclaimed	0.807746503742273	0.527950385754069	0.964979805035181	13	7	0.538461538461538	8	1.1184213900851
procession	0.0601964764417492	0.134044475993575	0.146940591125782	7	2	0.285714285714286	4	0.154793718935362
presented	1.67358473733949	0.857650117183976	1.88054502646477	5	4	0.8	9	6.02494431479385
worn	31.4359949556921	0.99122093223154	31.4516183652096	5	5	1	12	112.907310704752
gentlemen	0.121997468028879	0.215378617838252	0.247530465250993	8	3	0.375	6	0.274500061730222
sat	1.04392958501527	0.211630684404452	1.06516502245035	70	15	0.214285714285714	3	0.268441046877354
take	1.12269273411823	0.314732718998438	1.16597412477722	44	14	0.318181818181818	1	0.459284614520681
place	0.98102333059323	0.335339861758688	1.0367543576241	35	12	0.342857142857143	1	0.504528318255998
lights	0.236631008210761	0.246805038057862	0.341916599271787	13	5	0.384615384615385	6	0.327677494577854
burning	1.33574707310293	0.774508645421316	1.54404788952137	7	5	0.714285714285714	9	3.43475982424441
off	1.14765081879571	0.262628777246695	1.17731740687062	58	16	0.275862068965517	3	0.356169008421637
cut	1.61833408654738	0.691431320117864	1.75985297287048	13	8	0.615384615384615	10	2.24076960883383
air	0.355564219548712	0.210546270843826	0.413225902370031	24	8	0.333333333333333	4	0.26669868425205
cried	0.488844324570675	0.205593835541335	0.530318393870661	34	10	0.294117647058824	4	0.258801913604778
came	0.936767478344823	0.124112220701724	0.94495351833412	119	16	0.134453781512605	3	0.141698769677044
